"","pvalue","tvalue","logp"
"z379",0,72.6089612889374,Inf
"z380",0,-163.113097349306,Inf
"z381",0,71.3489055705415,Inf
"z382",4.69476655527602e-83,-19.3630810091366,189.568114329068
"z383",1.32482194891639e-31,11.7087056546724,71.0988598105831
"z384",6.43006776563589e-171,-28.0396845976026,391.881065824809
"z385",2.53722027106232e-317,38.5229726253958,728.988405378826
"z386",8.21128560005004e-315,-38.3656970172031,723.208794792388
"z387",0,66.1262645640321,Inf
"z388",0,-59.3085736734401,Inf
"z389",3.24893935866789e-26,-10.6006903898599,58.6888838259468
"z390",0,-69.3359431083391,Inf
"z391",0,-308.017376178863,Inf
"z392",9.19303303592028e-193,29.8222336570668,442.18047702938
"z393",0,-46.3622397944622,Inf
"z394",1.25721696294553e-91,20.3665144475006,209.306342943969
"z395",1.19879090766909e-179,-28.7645516562908,411.981418174029
"z396",4.18033782532834e-152,-26.4135233503334,348.562542072367
"z397",0,-277.878058872305,Inf
"z398",0,45.5575456627826,Inf
"z399",5.41207116435898e-42,-13.5970108948129,95.0199420461636
"z400",1.78066387291496e-31,-11.6834982825217,70.8031516257328
"z401",0,132.522879642515,Inf
"z402",0,61.0181669409339,Inf
"z403",5.47977318533905e-16,-8.10407009557068,35.140297777338
"z404",0,-39.4389151268078,Inf
"z405",0,-42.2966474353339,Inf
"z406",9.06176276888764e-45,-14.0596256200443,101.4122655175
"z407",0,40.229263164744,Inf
"z408",0,111.241184724692,Inf
"z409",2.0464808929364e-53,-15.4135655064674,121.320888248237
"z410",0,392.252923857102,Inf
"z411",1.60096943019223e-247,-33.9031303549219,568.267908629893
"z412",1.49649507821613e-146,25.9149091834646,335.774297817689
"z413",0,293.175867921096,Inf
"z414",0,278.609729654346,Inf
"z415",3.44781043831887e-69,17.623117180519,157.640632042585
"z416",0,-252.965998879027,Inf
"z417",0,-69.4367620097496,Inf
"z418",0,-43.6478228225762,Inf
"z419",0.0773493054305234,-1.76620895510539,2.55942368156998
"z420",5.19439987890463e-46,-14.261787667872,104.271333178827
"z421",0,-56.8012897370455,Inf
"z422",0.212091768097434,-1.2477703123324,1.55073622958649
"z423",5.65310787161545e-35,-12.3521790160819,78.8582727950913
"z424",4.56510728565295e-69,-17.6070782193866,157.359929401032
"z425",0,-101.548106364049,Inf
"z426",5.20904865182779e-31,-11.5915462828461,69.7297406441406
"z427",0,-44.0877936285444,Inf
"z428",0,52.6138087874944,Inf
"z429",0,49.4359954247414,Inf
"z430",0,66.4496936401947,Inf
"z431",0,-44.684030926032,Inf
"z432",3.3169056533125e-145,25.7927143431758,332.675806167955
"z433",0,-43.5273904900828,Inf
"z434",3.70139842572847e-264,-35.0550063891031,606.573753849284
"z435",0,-54.5334151255803,Inf
"z436",4.44058766492942e-06,-4.5900943802815,12.3247238333125
"z437",4.34935246220791e-299,37.3667700895176,687.002915830462
"z438",0,138.985873133356,Inf
"z439",0,-116.80927623323,Inf
"z440",0,-131.857372787473,Inf
"z441",0,119.061490825413,Inf
"z442",4.68374232257502e-320,-38.6936046570861,735.283132326132
"z443",0,44.8896417063402,Inf
"z444",0,42.0237083847093,Inf
"z445",0,105.855877871516,Inf
"z446",0.254626879999677,-1.13912218446577,1.36795602105672
"z447",0,51.6691627317999,Inf
"z448",2.69225994793499e-05,4.19836887819477,10.5225444947237
"z449",4.3068568706167e-12,-6.92893035393716,26.1708127422136
"z450",0,-125.391862968792,Inf
"z451",2.26948329242143e-05,4.23691686625157,10.6933732838713
"z452",0,-50.7208222021445,Inf
"z453",0,-48.9895223681269,Inf
"z454",2.77199837990986e-05,-4.19175041286155,10.4933569680908
"z455",0,-42.5991897236079,Inf
