Fold,lrt_counts,latent_var,lrt_importance
fold 3,489,z171,Important
fold 4,477,z171,Important
fold 5,485,z171,Important
fold 6,488,z171,Important
fold 7,480,z171,Important
fold 8,484,z171,Important
fold 9,495,z171,Important
fold 0,494,z172,Important
fold 1,485,z172,Important
fold 2,492,z172,Important
fold 3,489,z172,Important
fold 4,477,z172,Important
fold 5,485,z172,Important
fold 6,488,z172,Important
fold 7,480,z172,Important
fold 8,484,z172,Important
fold 9,495,z172,Important
fold 0,494,z173,Important
fold 1,485,z173,Important
fold 3,489,z173,Important
fold 4,477,z173,Important
fold 5,485,z173,Important
fold 6,488,z173,Important
fold 7,480,z173,Important
fold 8,484,z173,Important
fold 9,495,z173,Important
fold 0,494,z174,Important
fold 1,485,z174,Important
fold 2,492,z174,Important
fold 3,489,z174,Important
fold 4,477,z174,Important
fold 5,485,z174,Important
fold 6,488,z174,Important
fold 7,480,z174,Important
fold 8,484,z174,Important
fold 9,495,z174,Important
fold 0,494,z175,Important
fold 1,485,z175,Important
fold 2,492,z175,Important
fold 3,489,z175,Important
fold 4,477,z175,Important
fold 5,485,z175,Important
fold 6,488,z175,Important
fold 7,480,z175,Important
fold 9,495,z175,Important
fold 0,494,z176,Important
fold 1,485,z176,Important
fold 2,492,z176,Important
fold 3,489,z176,Important
fold 4,477,z176,Important
fold 5,485,z176,Important
fold 6,488,z176,Important
fold 8,484,z176,Important
fold 9,495,z176,Important
fold 0,494,z177,Important
fold 1,485,z177,Important
fold 2,492,z177,Important
fold 3,489,z177,Important
fold 5,485,z177,Important
fold 6,488,z177,Important
fold 7,480,z177,Important
fold 8,484,z177,Important
fold 0,494,z178,Important
fold 1,485,z178,Important
fold 3,489,z178,Important
fold 4,477,z178,Important
fold 5,485,z178,Important
fold 6,488,z178,Important
fold 7,480,z178,Important
fold 8,484,z178,Important
fold 9,495,z178,Important
fold 0,494,z179,Important
fold 1,485,z179,Important
fold 2,492,z179,Important
fold 3,489,z179,Important
fold 4,477,z179,Important
fold 5,485,z179,Important
fold 6,488,z179,Important
fold 7,480,z179,Important
fold 8,484,z179,Important
fold 9,495,z179,Important
fold 0,494,z18,Important
fold 1,485,z18,Important
fold 2,492,z18,Important
fold 3,489,z18,Important
fold 4,477,z18,Important
fold 5,485,z18,Important
fold 6,488,z18,Important
fold 8,484,z18,Important
fold 9,495,z18,Important
fold 0,494,z180,Important
fold 1,485,z180,Important
fold 2,492,z180,Important
fold 3,489,z180,Important
fold 4,477,z180,Important
fold 5,485,z180,Important
fold 6,488,z180,Important
fold 7,480,z180,Important
fold 8,484,z180,Important
fold 9,495,z180,Important
fold 0,494,z181,Important
fold 1,485,z181,Important
fold 2,492,z181,Important
fold 3,489,z181,Important
fold 4,477,z181,Important
fold 5,485,z181,Important
fold 6,488,z181,Important
fold 8,484,z181,Important
fold 9,495,z181,Important
fold 0,494,z182,Important
fold 1,485,z182,Important
fold 2,492,z182,Important
fold 3,489,z182,Important
fold 4,477,z182,Important
fold 5,485,z182,Important
fold 6,488,z182,Important
fold 7,480,z182,Important
fold 8,484,z182,Important
fold 9,495,z182,Important
fold 0,494,z183,Important
fold 1,485,z183,Important
fold 2,492,z183,Important
fold 3,489,z183,Important
fold 4,477,z183,Important
fold 5,485,z183,Important
fold 6,488,z183,Important
fold 7,480,z183,Important
fold 8,484,z183,Important
fold 9,495,z183,Important
fold 0,494,z184,Important
fold 1,485,z184,Important
fold 2,492,z184,Important
fold 3,489,z184,Important
fold 4,477,z184,Important
fold 5,485,z184,Important
fold 6,488,z184,Important
fold 7,480,z184,Important
fold 8,484,z184,Important
fold 9,495,z184,Important
